p6
VisualSearchTask (1)
03/06/2015	15:53:15

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Loc	Color
groupB	p6	BlueYellow_Block1	YB_NCRight, 1	response_no_cue	2	2	Pressed	2	C	2029							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 3	response_target_f	f	f	Pressed	f	C	3452							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 3	response_no_cue	2	2	Pressed	2	C	4148							
groupB	p6	BlueYellow_Block1	YB_ssright_1, 10	response_target_j	j	j	Pressed	j	C	1833						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 10	response_cue	1	1	Pressed	1	C	2161						SL	SC
groupB	p6	BlueYellow_Block1	YB_sdright_1, 5	response_target_j	f	f	Pressed	j	E	1524						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdright_1, 5	response_cue	1	1	Pressed	1	C	2316						DL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 6	response_target_f	f	f	Pressed	f	C	1565						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 6	response_cue	1	1	Pressed	1	C	2005						SL	SC
groupB	p6	BlueYellow_Block1	YB_dsleft_1, 8	response_target_f	f	f	Pressed	f	C	1370						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsleft_1, 8	response_cue	1	1	Pressed	1	C	2017						SL	DC
groupB	p6	BlueYellow_Block1	YB_NCRight, 8	response_target_j	j	j	Pressed	j	C	1866							
groupB	p6	BlueYellow_Block1	YB_NCRight, 8	response_no_cue	2	2	Pressed	2	C	2314							
groupB	p6	BlueYellow_Block1	YB_sdright_1, 3	response_target_j	f	f	Pressed	j	E	1425						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdright_1, 3	response_cue	2	2	Pressed	1	E	2425						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 1	response_target_f	f	f	Pressed	f	C	1065						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 1	response_cue	1	1	Pressed	1	C	1833						DL	SC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 6	response_target_f	f	f	Pressed	f	C	1311						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 6	response_cue	1	1	Pressed	1	C	3080						DL	DC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 6	response_target_f	j	j	Pressed	f	E	2415						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 6	response_cue	1	1	Pressed	1	C	2855						DL	SC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 7	response_target_j	j	j	Pressed	j	C	1833						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 7	response_cue	1	1	Pressed	1	C	2225						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 2	response_target_f	j	j	Pressed	f	E	1489						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 2	response_cue	1	1	Pressed	1	C	2065						DL	DC
groupB	p6	BlueYellow_Block1	YB_NCRight, 3	response_target_j	j	j	Pressed	j	C	1407							
groupB	p6	BlueYellow_Block1	YB_NCRight, 3	response_no_cue	2	2	Pressed	2	C	2127							
groupB	p6	BlueYellow_Block1	YB_ssright_1, 4	response_target_j	j	j	Pressed	j	C	1817						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 4	response_cue	1	1	Pressed	1	C	2697						SL	SC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 6	response_target_j	j	j	Pressed	j	C	2052						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 6	response_cue	1	1	Pressed	1	C	2892						SL	DC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 9	response_target_j	j	j	Pressed	j	C	1751						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 9	response_cue	1	1	Pressed	1	C	2647						SL	SC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 2	response_target_j	j	j	Pressed	j	C	1608						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 2	response_cue	1	1	Pressed	1	C	2824						DL	DC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 10	response_target_j	j	j	Pressed	j	C	2244						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 10	response_cue	1	1	Pressed	1	C	3068						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 5	response_target_j	j	j	Pressed	j	C	1792						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 5	response_cue	1	1	Pressed	1	C	2576						SL	DC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 3	response_target_f	f	f	Pressed	f	C	1658						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 3	response_cue	1	1	Pressed	1	C	2298						SL	SC
groupB	p6	BlueYellow_Block1	YB_dsleft_1, 7	response_target_f	f	f	Pressed	f	C	2062						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsleft_1, 7	response_cue	1	1	Pressed	1	C	2502						SL	DC
groupB	p6	BlueYellow_Block1	YB_sdright_1, 6	response_target_j	j	j	Pressed	j	C	2133						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdright_1, 6	response_cue	1	1	Pressed	1	C	2613						DL	SC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 1	response_target_j	j	j	Pressed	j	C	1657						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 1	response_cue	1	1	Pressed	1	C	2057						SL	SC
groupB	p6	BlueYellow_Block1	YB_NCLeft, 10	response_target_f	j	j	Pressed	f	E	2314							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 10	response_no_cue	2	2	Pressed	2	C	2850							
groupB	p6	BlueYellow_Block1	YB_sdright_1, 7	response_target_j	j	j	Pressed	j	C	2869						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdright_1, 7	response_cue	1	1	Pressed	1	C	3565						DL	SC
groupB	p6	BlueYellow_Block1	YB_dsleft_1, 4	response_target_f	f	f	Pressed	f	C	1799						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsleft_1, 4	response_cue	1	1	Pressed	1	C	2807						SL	DC
groupB	p6	BlueYellow_Block1	YB_NCRight, 7	response_target_j	j	j	Pressed	j	C	1407							
groupB	p6	BlueYellow_Block1	YB_NCRight, 7	response_no_cue	2	2	Pressed	2	C	1991							
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 10	response_target_f	f	f	Pressed	f	C	1387						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 10	response_cue	1	1	Pressed	1	C	2195						SL	SC
groupB	p6	BlueYellow_Block1	YB_NCLeft, 6	response_target_f	f	f	Pressed	f	C	1633							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 6	response_no_cue	2	2	Pressed	2	C	2433							
groupB	p6	BlueYellow_Block1	YB_NCRight, 4	response_target_j	j	j	Pressed	j	C	1478							
groupB	p6	BlueYellow_Block1	YB_NCRight, 4	response_no_cue	2	2	Pressed	2	C	2206							
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 9	response_target_f	j	j	Pressed	f	E	3207						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 9	response_cue	1	1	Pressed	1	C	3439						DL	DC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 4	response_target_f	j	j	Pressed	f	E	1975						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 4	response_cue	2	2	Pressed	1	E	2487						DL	SC
groupB	p6	BlueYellow_Block1	YB_NCLeft, 1	response_target_f	f	f	Pressed	f	C	1499							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 1	response_no_cue	2	2	Pressed	2	C	2075							
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 4	response_target_f	j	j	Pressed	f	E	2584						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 4	response_cue	2	2	Pressed	1	E	3368						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 5	response_target_f	f	f	Pressed	f	C	1851						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddleft_1, 5	response_cue	1	1	Pressed	1	C	2883						DL	DC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 7	response_target_j	j	j	Pressed	j	C	1754						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssright_1, 7	response_cue	2	2	Pressed	1	E	2378						SL	SC
groupB	p6	BlueYellow_Block1	YB_NCRight, 5	response_target_j	j	j	Pressed	j	C	1588							
groupB	p6	BlueYellow_Block1	YB_NCRight, 5	response_no_cue	2	2	Pressed	2	C	2868							
groupB	p6	BlueYellow_Block1	YB_ddright_1, 10	response_target_j	f	f	Pressed	j	E	1546						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 10	response_cue	1	1	Pressed	1	C	2354						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 1	response_target_j	j	j	Pressed	j	C	2152						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 1	response_cue	1	1	Pressed	1	C	2408						DL	DC
groupB	p6	BlueYellow_Block1	YB_NCRight, 9	response_target_j	j	j	Pressed	j	C	1360							
groupB	p6	BlueYellow_Block1	YB_NCRight, 9	response_no_cue	2	2	Pressed	2	C	1968							
groupB	p6	BlueYellow_Block1	YB_ddright_1, 8	response_target_j	j	j	Pressed	j	C	1611						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 8	response_cue	1	1	Pressed	1	C	2147						DL	DC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 9	response_target_f	f	f	Pressed	f	C	1099						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 9	response_cue	2	2	Pressed	1	E	1963						SL	SC
groupB	p6	BlueYellow_Block1	YB_NCLeft, 5	response_target_f	f	f	Pressed	f	C	1175							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 5	response_no_cue	2	2	Pressed	2	C	1703							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 7	response_target_f	f	f	Pressed	f	C	1003							
groupB	p6	BlueYellow_Block1	YB_NCLeft, 7	response_no_cue	2	2	Pressed	2	C	1491							
groupB	p6	BlueYellow_Block1	YB_ddright_1, 9	response_target_j	j	j	Pressed	j	C	1586						DL	DC
groupB	p6	BlueYellow_Block1	YB_ddright_1, 9	response_cue	1	1	Pressed	1	C	2026						DL	DC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 9	response_target_j	j	j	Pressed	j	C	1827						SL	DC
groupB	p6	BlueYellow_Block1	YB_dsright_1, 9	response_cue	1	1	Pressed	1	C	3379						SL	DC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 7	response_target_f	f	f	Pressed	f	C	1290						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 7	response_cue	2	2	Pressed	1	E	1746						DL	SC
groupB	p6	BlueYellow_Block1	YB_NCRight, 6	response_target_j	j	j	Pressed	j	C	1336							
groupB	p6	BlueYellow_Block1	YB_NCRight, 6	response_no_cue	2	2	Pressed	2	C	1856							
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 3	response_target_f	f	f	Pressed	f	C	2335						DL	SC
groupB	p6	BlueYellow_Block1	YB_sdleft_1, 3	response_cue	1	1	Pressed	1	C	2871						DL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 4	response_target_f	j	j	Pressed	f	E	3146						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 4	response_cue	1	1	Pressed	1	C	3450						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 8	response_target_f	f	f	Pressed	f	C	1496						SL	SC
groupB	p6	BlueYellow_Block1	YB_ssleft_1, 8	response_cue	1	1	Pressed	1	C	2336						SL	SC
groupB	p6	BlueYellow_Block1	YB_sdright_1, 8	response_target_j	j	j	Pressed	j	C	1133						DL	SC
