p5
VisualSearchTaskr
03/04/2015	13:57:33

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	Loc	Color
GroupA	p5	RedGreen_Block1	RG_dsright_1, 7	response_target_j	j	j	Pressed	j	C	837						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 7	response_cue	1	1	Pressed	1	C	1189						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 2	response_target_f	f	f	Pressed	f	C	1075						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 2	response_cue	1	1	Pressed	1	C	2011						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 9	response_target_f	j	j	Pressed	f	E	1903						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 9	response_cue	1	1	Pressed	1	C	2295						SL	SC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 5	response_target_f	f	f	Pressed	f	C	1029						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 5	response_cue	1	1	Pressed	1	C	1445						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 10	response_target_f	j	j	Pressed	f	E	1186						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 10	response_cue	1	1	Pressed	1	C	1555						DL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 5	response_target_f	f	f	Pressed	f	C	1228						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 5	response_cue	1	1	Pressed	1	C	1620						SL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 4	response_target_j	j	j	Pressed	j	C	1266						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 4	response_cue	1	1	Pressed	1	C	1698						DL	DC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 6	response_target_f	f	f	Pressed	f	C	821							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 6	response_no_cue	1	1	Pressed	2	E	1205							
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 4	response_target_f	f	f	Pressed	f	C	1336						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 4	response_cue	1	1	Pressed	1	C	1816						SL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 8	response_target_j	f	f	Pressed	j	E	800						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 8	response_cue	1	1	Pressed	1	C	1176						DL	DC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 6	response_target_f	j	j	Pressed	f	E	1717						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 6	response_cue	1	1	Pressed	1	C	2045						DL	SC
GroupA	p5	RedGreen_Block1	RG_NCRight, 9	response_target_j	j	j	Pressed	j	C	1034							
GroupA	p5	RedGreen_Block1	RG_NCRight, 9	response_no_cue	1	1	Pressed	2	E	1338							
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 3	response_target_f	j	j	Pressed	f	E	945						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 3	response_cue	1	1	Pressed	1	C	1249						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 7	response_target_j	j	j	Pressed	j	C	1044						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 7	response_cue	1	1	Pressed	1	C	1388						DL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 8	response_target_f	j	j	Pressed	f	E	1132							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 8	response_no_cue	1	1	Pressed	2	E	1548							
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 10	response_target_f	f	f	Pressed	f	C	996						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 10	response_cue	1	1	Pressed	1	C	1300						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 1	response_target_j	f	f	Pressed	j	E	1328						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 1	response_cue	1	1	Pressed	1	C	1624						SL	SC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 7	response_target_f	j	j	Pressed	f	E	823						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 7	response_cue	1	1	Pressed	1	C	1135						DL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 9	response_target_j	j	j	Pressed	j	C	1369						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 9	response_cue	1	1	Pressed	1	C	1681						SL	DC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 5	response_target_f	f	f	Pressed	f	C	1129						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 5	response_cue	1	1	Pressed	1	C	1377						DL	SC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 6	response_target_f	j	j	Pressed	f	E	627						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 6	response_cue	1	1	Pressed	1	C	963						DL	DC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 8	response_target_j	j	j	Pressed	j	C	1015						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdright_1, 8	response_cue	1	1	Pressed	1	C	1303						DL	SC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 10	response_target_j	j	j	Pressed	j	C	1359						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 10	response_cue	1	1	Pressed	1	C	1599						DL	DC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 7	response_target_f	f	f	Pressed	f	C	1394						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 7	response_cue	1	1	Pressed	1	C	1802						SL	SC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 1	response_target_f	j	j	Pressed	f	E	1915						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddleft_1, 1	response_cue	1	1	Pressed	1	C	2187						DL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 4	response_target_j	j	j	Pressed	j	C	1034						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 4	response_cue	1	1	Pressed	1	C	1354						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 8	response_target_f	f	f	Pressed	f	C	1495						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 8	response_cue	1	1	Pressed	1	C	1855						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 10	response_target_j	j	j	Pressed	j	C	1482						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 10	response_cue	1	1	Pressed	1	C	2050						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 7	response_target_f	f	f	Pressed	f	C	1492							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 7	response_no_cue	1	1	Pressed	2	E	2028							
GroupA	p5	RedGreen_Block1	RG_ssright_1, 4	response_target_j	j	j	Pressed	j	C	945						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 4	response_cue	1	1	Pressed	1	C	1353						SL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 2	response_target_f	j	j	Pressed	f	E	1305						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 2	response_cue	1	1	Pressed	1	C	1753						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 1	response_target_f	f	f	Pressed	f	C	1360						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 1	response_cue	1	1	Pressed	1	C	1680						DL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 10	response_target_f	j	j	Pressed	f	E	1779							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 10	response_no_cue	2	2	Pressed	2	C	2115							
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 7	response_target_f	f	f	Pressed	f	C	2054						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 7	response_cue	1	1	Pressed	1	C	2454						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 10	response_target_f	f	f	Pressed	f	C	2160						DL	SC
GroupA	p5	RedGreen_Block1	RG_sdleft_1, 10	response_cue	1	1	Pressed	1	C	2544						DL	SC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 3	response_target_f	j	j	Pressed	f	E	1391						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsleft_1, 3	response_cue	1	1	Pressed	1	C	1847						SL	DC
GroupA	p5	RedGreen_Block1	RG_NCRight, 2	response_target_j	j	j	Pressed	j	C	2304							
GroupA	p5	RedGreen_Block1	RG_NCRight, 2	response_no_cue	2	2	Pressed	2	C	2799							
GroupA	p5	RedGreen_Block1	RG_dsright_1, 5	response_target_j	f	f	Pressed	j	E	1585						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 5	response_cue	1	1	Pressed	1	C	1969						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 5	response_target_j	j	j	Pressed	j	C	2562						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssright_1, 5	response_cue	1	1	Pressed	1	C	3306						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCRight, 3	response_target_j	j	j	Pressed	j	C	1884							
GroupA	p5	RedGreen_Block1	RG_NCRight, 3	response_no_cue	1	1	Pressed	2	E	2244							
GroupA	p5	RedGreen_Block1	RG_dsright_1, 10	response_target_j	j	j	Pressed	j	C	875						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 10	response_cue	1	1	Pressed	1	C	1347						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 8	response_target_j	j	j	Pressed	j	C	934						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 8	response_cue	1	1	Pressed	1	C	1318						SL	DC
GroupA	p5	RedGreen_Block1	RG_NCRight, 7	response_target_j	j	j	Pressed	j	C	1004							
GroupA	p5	RedGreen_Block1	RG_NCRight, 7	response_no_cue	1	1	Pressed	2	E	1412							
GroupA	p5	RedGreen_Block1	RG_ddright_1, 7	response_target_j	j	j	Pressed	j	C	1184						DL	DC
GroupA	p5	RedGreen_Block1	RG_ddright_1, 7	response_cue	1	1	Pressed	1	C	1704						DL	DC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 2	response_target_f	f	f	Pressed	f	C	1202						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 2	response_cue	1	1	Pressed	1	C	1563						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCRight, 4	response_target_j	j	j	Pressed	j	C	1295							
GroupA	p5	RedGreen_Block1	RG_NCRight, 4	response_no_cue	1	1	Pressed	2	E	1759							
GroupA	p5	RedGreen_Block1	RG_dsright_1, 2	response_target_j	j	j	Pressed	j	C	1181						SL	DC
GroupA	p5	RedGreen_Block1	RG_dsright_1, 2	response_cue	f	f	Pressed	1	E	1789						SL	DC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 3	response_target_f	j	j	Pressed	f	E	1213						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 3	response_cue	1	1	Pressed	1	C	2061						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 5	response_target_f	f	f	Pressed	f	C	1067							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 5	response_no_cue	1	1	Pressed	2	E	1531							
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 4	response_target_f	f	f	Pressed	f	C	1366						SL	SC
GroupA	p5	RedGreen_Block1	RG_ssleft_1, 4	response_cue	1	1	Pressed	1	C	1710						SL	SC
GroupA	p5	RedGreen_Block1	RG_NCLeft, 3	response_target_f	j	j	Pressed	f	E	945							
GroupA	p5	RedGreen_Block1	RG_NCLeft, 3	response_no_cue	1	1	Pressed	2	E	1441							
